index_code,date,open,close,low,high,volume,money,change
sh000905,2021/3/19,6195.25,6206.6,6167.51,6258.13,14323827500,1.44E+11,-0.010720673
sh000905,2021/3/18,6231.19,6273.86,6227.19,6300.94,14072566500,1.38E+11,0.007790714
sh000905,2021/3/17,6180.89,6225.36,6124.05,6230.56,13484039600,1.25E+11,0.004861797
sh000905,2021/3/16,6176.07,6195.24,6124.78,6222.18,15284599200,1.39E+11,0.003461362
sh000905,2021/3/15,6192.3,6173.87,6111.36,6229.57,17079969100,1.51E+11,-0.007796052
sh000905,2021/3/12,6231.48,6222.38,6137.99,6232.5,17574617800,1.60E+11,0.001375963
sh000905,2021/3/11,6074.33,6213.83,6045.55,6213.93,16081464300,1.49E+11,0.025002227
sh000905,2021/3/10,6164.77,6062.26,6053.02,6179.85,14255427900,1.36E+11,-0.00748854
sh000905,2021/3/9,6235.31,6108,6033.41,6250.94,19643268600,1.82E+11,-0.023721271
sh000905,2021/3/8,6453.78,6256.41,6253.7,6488.82,16854633900,1.77E+11,-0.022970251
sh000905,2021/3/5,6325.75,6403.5,6319.53,6442.02,16650488500,1.64E+11,0.000235864
sh000905,2021/3/4,6482.79,6401.99,6371.73,6485.16,19433461600,1.93E+11,-0.018814514
sh000905,2021/3/3,6426.04,6524.75,6420.21,6528.22,17101752400,1.70E+11,0.01421037
sh000905,2021/3/2,6514.02,6433.33,6386.49,6514.02,16587706900,1.74E+11,-0.008493567
sh000905,2021/3/1,6407.16,6488.44,6404.89,6491.94,15860843700,1.66E+11,0.019497671
sh000905,2021/2/26,6365.74,6364.35,6346.13,6446.95,15076020600,1.64E+11,-0.020741174
sh000905,2021/2/25,6600.21,6499.15,6484.55,6609.56,16206818200,1.71E+11,-0.00566691
sh000905,2021/2/24,6633.28,6536.19,6477.75,6661.43,17371883200,1.97E+11,-0.014332183
sh000905,2021/2/23,6613.6,6631.23,6609.08,6701.43,19265686600,2.06E+11,-0.003880091
sh000905,2021/2/22,6731.51,6657.06,6657.06,6810.92,23706558500,2.60E+11,-0.006924761
sh000905,2021/2/19,6600.25,6703.48,6542.78,6706.39,17876781700,2.01E+11,0.013446135
sh000905,2021/2/18,6657.31,6614.54,6564.31,6678.61,16689239200,1.95E+11,0.013696195
sh000905,2021/2/10,6474.75,6525.17,6424.72,6542.75,11904265900,1.50E+11,0.010419828
sh000905,2021/2/9,6334.42,6457.88,6330.79,6468.43,11931911000,1.47E+11,0.021305803
sh000905,2021/2/8,6247.92,6323.16,6215.73,6354.02,11613400400,1.42E+11,0.013348034
sh000905,2021/2/5,6343.83,6239.87,6236.27,6382.96,13513287900,1.63E+11,-0.014050079
sh000905,2021/2/4,6375.67,6328.79,6249.53,6414.3,14886133000,1.74E+11,-0.011023029
