index_code,date,open,close,low,high,volume,money,change
sh000300,2021/3/19,5068.53,5007.09,4980.76,5089.92,16417484900,2.83E+11,-0.026193315
sh000300,2021/3/18,5114.59,5141.77,5111.13,5160.46,14290151800,2.61E+11,0.008020216
sh000300,2021/3/17,5062.77,5100.86,5020.13,5123.55,14916237600,2.63E+11,0.004232817
sh000300,2021/3/16,5054.41,5079.36,5009.95,5084.31,16139005400,2.72E+11,0.008702145
sh000300,2021/3/15,5116.12,5035.54,4992.4,5120.88,20415308400,3.31E+11,-0.021537469
sh000300,2021/3/12,5153.67,5146.38,5086.82,5153.67,20102058900,3.23E+11,0.00354119
sh000300,2021/3/11,5024.56,5128.22,5020.58,5138.41,18960076600,3.34E+11,0.024904019
sh000300,2021/3/10,5047.06,5003.61,4981.62,5055.28,16992849000,3.10E+11,0.006560048
sh000300,2021/3/9,5066.15,4971,4917.91,5094.31,23071100400,4.14E+11,-0.021460545
sh000300,2021/3/8,5299.79,5080.02,5079.8,5326.26,23023163500,4.07E+11,-0.034730562
sh000300,2021/3/5,5191.97,5262.8,5174.25,5307.82,20262795600,3.53E+11,-0.003391589
sh000300,2021/3/4,5388.48,5280.71,5254.78,5392.37,21277521100,3.84E+11,-0.031455135
sh000300,2021/3/3,5327.35,5452.21,5316.48,5452.4,19470905400,3.38E+11,0.019175158
sh000300,2021/3/2,5453.28,5349.63,5305.05,5454.97,19651111500,3.76E+11,-0.012761175
sh000300,2021/3/1,5389.25,5418.78,5345.94,5421.56,17746352300,3.58E+11,0.015368875
sh000300,2021/2/26,5343.9,5336.76,5318.86,5416.32,21226454300,4.06E+11,-0.024279832
sh000300,2021/2/25,5494.47,5469.56,5444.16,5527.63,23073602800,4.12E+11,0.005883143
sh000300,2021/2/24,5591.48,5437.57,5379.73,5598.83,22542861000,4.72E+11,-0.025467456
sh000300,2021/2/23,5542.68,5579.67,5541.11,5644.76,23380772700,4.25E+11,-0.003155076
sh000300,2021/2/22,5785.51,5597.33,5597.33,5785.51,28212438200,5.44E+11,-0.031409418
sh000300,2021/2/19,5734.02,5778.84,5667.32,5787.89,21447578000,4.56E+11,0.001813334
sh000300,2021/2/18,5922.07,5768.38,5747.66,5930.91,21884868600,5.07E+11,-0.006773743
sh000300,2021/2/10,5709.68,5807.72,5707.33,5823.42,17016978600,4.17E+11,0.021362058
sh000300,2021/2/9,5584.17,5686.25,5555.05,5686.25,16488726000,3.79E+11,0.021868755
sh000300,2021/2/8,5506.14,5564.56,5479.85,5576.49,16403377500,3.68E+11,0.014799185
sh000300,2021/2/5,5494.7,5483.41,5477.65,5550.77,18969959800,3.95E+11,0.001728185
sh000300,2021/2/4,5453.98,5473.95,5411.57,5510.05,18057565400,3.98E+11,-0.002050974
sh000300,2021/2/3,5499.3,5485.2,5473.12,5532.89,18805431700,4.04E+11,-0.002888518
sh000300,2021/2/2,5429.7,5501.09,5411.52,5503.21,16521056500,3.80E+11,0.015401512
sh000300,2021/2/1,5356.85,5417.65,5342.05,5422.3,16631370600,3.47E+11,0.012274008
sh000300,2021/1/29,5413.97,5351.96,5288.1,5430.2,18217878400,3.90E+11,-0.004682787
sh000300,2021/1/28,5450.37,5377.14,5360.38,5462.24,17048558500,3.76E+11,-0.027290159
sh000300,2021/1/27,5505.77,5528,5449.64,5534.99,16019084100,3.77E+11,0.002726298
sh000300,2021/1/26,5600.9,5512.97,5506,5600.9,17190459000,4.15E+11,-0.020076716
sh000300,2021/1/25,5564.12,5625.92,5543.27,5655.48,19704701900,5.08E+11,0.010079393
sh000300,2021/1/22,5562.38,5569.78,5513.88,5573.66,19930002000,4.57E+11,0.000864335
sh000300,2021/1/21,5492.96,5564.97,5490.56,5593.11,20995019700,4.53E+11,0.016167467
sh000300,2021/1/20,5439.91,5476.43,5426.54,5496.05,17091326000,3.74E+11,0.007155836
sh000300,2021/1/19,5525.97,5437.52,5415.72,5532.48,21104342500,4.33E+11,-0.014677848
sh000300,2021/1/18,5438.16,5518.52,5410.78,5541.46,20705186900,4.23E+11,0.011073491
sh000300,2021/1/15,5471.39,5458.08,5390.27,5500.63,23863743500,4.76E+11,-0.002263064
