index_code,date,open,close,low,high,volume,money,change
sh000300,2021/1/14,5556.21,5470.46,5458.68,5568.02,24368338000,5.02E+11,-0.019274037
sh000300,2021/1/13,5609.26,5577.97,5535.14,5644.72,26156988600,5.47E+11,-0.003284284
sh000300,2021/1/12,5419.5,5596.35,5417.63,5596.35,22422018600,4.86E+11,0.028521492
sh000300,2021/1/11,5504.24,5441.16,5412.5,5555.69,23183598300,5.22E+11,-0.009875478
sh000300,2021/1/8,5526.29,5495.43,5442.69,5547.47,20432495600,4.74E+11,-0.003306334
sh000300,2021/1/7,5428.39,5513.66,5413.35,5513.66,21987208000,4.73E+11,0.017717949
sh000300,2021/1/6,5386.51,5417.67,5341.43,5433.47,19377344400,4.44E+11,0.009158983
sh000300,2021/1/5,5245.84,5368.5,5234.38,5368.5,22493115900,4.98E+11,0.019131617
sh000300,2021/1/4,5212.93,5267.72,5190.94,5284.43,21171138200,4.53E+11,0.010828413
sh000300,2020/12/31,5122.48,5211.29,5122.48,5215.62,17160250900,3.59E+11,0.019082036
sh000300,2020/12/30,5037.98,5113.71,5036.63,5113.71,14862644800,2.97E+11,0.01403348
sh000300,2020/12/29,5071.45,5042.94,5034.31,5077.42,14119866200,2.79E+11,-0.004239388
sh000300,2020/12/28,5042.94,5064.41,5037.86,5089.34,13691440700,2.81E+11,0.004442673
sh000300,2020/12/25,4985.77,5042.01,4973.68,5042.1,12100697900,2.44E+11,0.008397966
sh000300,2020/12/24,5006.01,5000.02,4979.24,5033.04,11441866700,2.47E+11,-0.001417981
sh000300,2020/12/23,4977.3,5007.12,4968.15,5028.45,14029281900,3.09E+11,0.008530103
sh000300,2020/12/22,5034.98,4964.77,4960.95,5055.13,16234497000,3.27E+11,-0.016261661
sh000300,2020/12/21,4995.76,5046.84,4970,5048.51,14081178200,2.98E+11,0.009374056
